time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1720064724.65621972,0.02133704,0.00108522,0.00000310,13892.00000000,0.00848022,0.000000,0.000000
1720064724.75605750,0.02130532,0.00131242,0.00000419,13916.00000000,0.01220054,0.000000,0.000000
1720064724.85590577,0.02128184,0.00155153,0.00000630,13859.00000000,0.01451862,0.000000,0.000000
1720064724.95574069,0.02125111,0.00127816,0.00000488,13899.00000000,0.01237238,0.000000,0.000000
1720064725.05638647,0.02121772,0.00131834,0.00000386,13955.00000000,0.01153354,0.000000,0.000000
1720064725.15621710,0.02117599,0.00290813,0.00000269,13975.00000000,0.00903261,0.000000,0.000000
1720064725.25606608,0.02115125,0.00173415,0.00000490,13913.00000000,0.01392669,0.000000,0.000000
1720064725.35591269,0.02112154,0.00139451,0.00000502,13963.00000000,0.01241520,0.000000,0.000000
1720064725.45574427,0.02109303,0.00153967,0.00000521,14039.00000000,0.01271191,0.000000,0.000000
1720064725.55638719,0.02106815,0.00170804,0.00000548,13867.00000000,0.01373006,0.000000,0.000000
1720064725.65623522,0.02103191,0.00202542,0.00000358,13965.00000000,0.01030513,0.000000,0.000000
1720064725.75607491,0.02100874,0.00193148,0.00000503,14009.00000000,0.01412678,0.000000,0.000000
1720064725.85591435,0.02097989,0.00216722,0.00000452,14082.00000000,0.01238093,0.000000,0.000000
1720064725.95575643,0.02094553,0.00196073,0.00000387,14144.00000000,0.01067264,0.000000,0.000000
1720064726.05642271,0.02090768,0.00218661,0.00000345,14208.00000000,0.00955396,0.000000,0.000000
1720064726.15625501,0.02088485,0.00248612,0.00000473,14270.00000000,0.01401269,0.000000,0.000000
1720064726.25609183,0.02086286,0.00292952,0.00000457,14354.00000000,0.01422120,0.000000,0.000000
1720064726.35592914,0.02083799,0.00182153,0.00000489,13656.00000000,0.01330218,0.000000,0.000000
1720064726.45577621,0.02081954,0.00187116,0.00000533,13765.00000000,0.01521200,0.000000,0.000000
1720064726.55641246,0.02078538,0.00139251,0.00000369,13842.00000000,0.01036546,0.000000,0.000000
1720064726.65625215,0.02075852,0.00195306,0.00000488,13921.00000000,0.01253937,0.000000,0.000000
1720064726.75608921,0.02073683,0.00254451,0.00000488,13979.00000000,0.01407675,0.000000,0.000000
1720064726.85592175,0.02070641,0.00291921,0.00000391,14041.00000000,0.01133850,0.000000,0.000000
1720064726.95576525,0.02068173,0.00176299,0.00000493,14092.00000000,0.01305636,0.000000,0.000000
1720064727.05640149,0.02066185,0.00173352,0.00000465,14160.00000000,0.01449788,0.000000,0.000000
1720064727.15623140,0.02064617,0.00278865,0.00000617,14221.00000000,0.01577078,0.000000,0.000000
1720064727.25606155,0.02062131,0.00136195,0.00000425,14288.00000000,0.01286547,0.000000,0.000000
1720064727.35590148,0.02059712,0.00142244,0.00000501,14329.00000000,0.01302549,0.000000,0.000000
1720064727.45575404,0.02056521,0.00245670,0.00000352,14356.00000000,0.01054530,0.000000,0.000000
1720064727.55639076,0.02054702,0.00212369,0.00000520,14419.00000000,0.01481648,0.000000,0.000000
1720064727.65623474,0.02053075,0.00210046,0.00000583,14454.00000000,0.01538881,0.000000,0.000000
1720064727.75606656,0.02050631,0.00133770,0.00000526,14483.00000000,0.01275826,0.000000,0.000000
1720064727.85591435,0.02048314,0.00147416,0.00000467,14509.00000000,0.01311584,0.000000,0.000000
1720064727.95575285,0.02046918,0.00231592,0.00000450,14565.00000000,0.01601736,0.000000,0.000000
1720064728.05639362,0.02044725,0.00147266,0.00000479,14584.00000000,0.01342732,0.000000,0.000000
1720064728.15622044,0.02043191,0.00176119,0.00000574,14598.00000000,0.01551011,0.000000,0.000000
1720064728.25605726,0.02040172,0.00140465,0.00000388,14621.00000000,0.01067929,0.000000,0.000000
1720064728.35590482,0.02038127,0.00198529,0.00000476,14682.00000000,0.01377589,0.000000,0.000000
1720064728.45575833,0.02036881,0.00232903,0.00000526,14715.00000000,0.01633256,0.000000,0.000000
1720064728.55638218,0.02035985,0.00182968,0.00000509,14786.00000000,0.01744701,0.000000,0.000000
1720064728.65621734,0.02033906,0.00180442,0.00000449,14835.00000000,0.01356101,0.000000,0.000000
1720064728.75604916,0.02032615,0.00241949,0.00000541,14882.00000000,0.01610359,0.000000,0.000000
1720064728.85589194,0.02030456,0.00300123,0.00000396,14904.00000000,0.01322332,0.000000,0.000000
1720064728.95612860,0.02029439,0.00241597,0.00000562,14692.00000000,0.01694978,0.000000,0.000000
1720064729.05595040,0.02028429,0.00278525,0.00000464,14769.00000000,0.01694976,0.000000,0.000000
1720064729.15579200,0.02027396,0.00267756,0.00000540,14851.00000000,0.01685760,0.000000,0.000000
1720064729.25642490,0.02026223,0.00268810,0.00000491,14937.00000000,0.01636686,0.000000,0.000000
1720064729.35626364,0.02026712,0.00257531,0.00000632,15010.00000000,0.02189386,0.000000,0.000000
1720064729.45611429,0.02026443,0.00229843,0.00000559,15126.00000000,0.01936709,0.000000,0.000000
1720064729.55594397,0.02026235,0.00292866,0.00000604,15251.00000000,0.01956477,0.000000,0.000000
1720064729.65578032,0.02025409,0.00187949,0.00000508,15327.00000000,0.01747840,0.000000,0.000000
1720064729.75641847,0.02024033,0.00235241,0.00000494,15349.00000000,0.01560604,0.000000,0.000000
1720064729.85627890,0.02022802,0.00266932,0.00000426,15367.00000000,0.01606623,0.000000,0.000000
1720064729.95612121,0.02021179,0.00263611,0.00000394,15374.00000000,0.01470950,0.000000,0.000000
1720064730.05595374,0.02020084,0.00256591,0.00000455,15403.00000000,0.01647790,0.000000,0.000000
1720064730.15580845,0.02018705,0.00238885,0.00000431,15450.00000000,0.01548565,0.000000,0.000000
1720064730.25643992,0.02018199,0.00254562,0.00000496,15477.00000000,0.01845012,0.000000,0.000000
1720064730.35628390,0.02017755,0.00273158,0.00000512,15484.00000000,0.01865612,0.000000,0.000000
1720064730.45612979,0.02016907,0.00227539,0.00000495,15535.00000000,0.01725058,0.000000,0.000000
1720064730.55596924,0.02015649,0.00231064,0.00000432,15065.00000000,0.01581766,0.000000,0.000000
1720064730.65581393,0.02016584,0.00289185,0.00000551,15123.00000000,0.02339999,0.000000,0.000000
1720064730.75607181,0.02016033,0.00281794,0.00000431,15218.00000000,0.01824902,0.000000,0.000000
1720064730.85591912,0.02015894,0.00248784,0.00000491,15284.00000000,0.01967547,0.000000,0.000000
1720064730.95575595,0.02015526,0.00304975,0.00000467,15346.00000000,0.01886986,0.000000,0.000000
